Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Unemployment Rate,% of economically active population,4.96,4.95,4.955,5.043,5.034,4.986,4.937,4.961,4.974,4.94,4.897,4.944,4.952,4.89,4.845,4.848,4.914,6.465,6.938,7.157,7.039,6.644,6.047,5.312
Unemployment Rate,% of economically active population,3.267,3.467,3.567,3.333,3.1,3.2,3.233,2.967,2.733,2.8,2.933,2.8,2.667,2.867,3.0,3.167,3.567,5.8,6.467,6.4,6.667,5.967,4.933,4.1
Unemployment Rate,% of economically active population,5.5,5.553,5.606,5.468,5.33,5.415,5.5,5.315,5.13,5.235,5.34,5.16,4.98,5.105,5.23,5.085,4.94,6.005,7.07,6.665,6.26,6.375,6.49,6.359
Unemployment Rate,% of economically active population,3.233,3.233,3.067,2.933,2.867,2.933,2.8,2.633,2.467,2.467,2.467,2.367,2.4,2.433,2.333,2.234,2.4,2.833,2.967,2.9,2.8,3.033,2.8,2.633
Unemployment Rate,% of economically active population,5.059,5.009,4.924,4.923,4.938,4.892,4.893,4.892,4.881,4.862,4.816,4.829,4.822,4.808,4.798,4.793,4.797,4.905,4.96,4.937,4.901,4.88,4.869,4.871
Unemployment Rate,% of economically active population,3.433,3.433,3.5,3.467,3.467,3.4,3.433,3.333,3.3,3.333,3.367,3.3,3.333,3.333,3.3,3.233,3.467,5.066,4.667,4.767,4.8,4.633,4.633,4.287
Unemployment Rate,% of economically active population,6.1,5.4,4.7,6.6,5.7,5.6,5.0,5.3,5.5,5.42,5.062,5.272,5.15,5.421,4.536,5.322,17.684,9.963,8.735,8.746,8.217,8.047,7.943,8.584
Unemployment Rate,% of economically active population,1.8,2.8,1.8,1.9,2.1,2.9,1.9,1.8,1.9,2.7,1.9,1.9,2.0,3.0,2.0,2.0,2.2,3.8,3.2,2.8,2.6,3.4,2.5,2.0
Unemployment Rate,% of economically active population,4.269,3.699,3.533,3.2,4.236,3.866,3.433,3.2,4.269,3.933,3.767,3.366,4.499,4.133,3.335,3.166,4.133,4.334,3.568,3.731,4.96,3.933,2.834,2.965
Unemployment Rate,% of economically active population,4.2,4.6,4.5,4.2,4.1,4.5,4.2,4.0,4.5,4.6,4.1,4.6,4.7,4.9,5.1,4.5,5.7,5.4,5.8,5.2,5.7,5.1,4.809,4.503
Unemployment Rate,% of economically active population,3.903,3.873,4.03,3.87,3.803,3.69,3.833,3.707,3.663,3.657,3.813,3.703,3.68,3.69,3.837,3.723,3.687,4.02,3.94,3.743,3.677,4.183,4.243,3.71
Unemployment Rate,% of economically active population,0.97,1.08,0.94,0.97,1.21,1.22,1.19,1.12,1.24,1.07,0.96,0.93,0.92,0.98,1.04,0.98,1.03,1.95,1.9,1.86,1.96,1.89,2.25,2.019
Unemployment Rate,% of economically active population,2.051,2.065,2.136,2.112,1.82,2.055,2.022,2.014,2.008,2.004,2.0,1.996,2.17,2.16,2.17,2.15,2.22,2.73,2.5,2.37,2.42,2.62,3.98,3.56
Unemployment Rate,% of economically active population,6.219,5.612,5.566,5.444,6.235,5.513,5.44,5.188,5.955,5.348,5.12,4.776,5.415,5.155,5.171,4.893,5.586,6.848,6.987,6.424,6.361,5.104,4.569,4.419
Unemployment Rate,% of economically active population,5.5,4.9,4.9,5.2,5.2,4.7,4.6,4.4,4.6,4.4,3.9,4.4,4.4,3.9,4.0,4.1,4.5,3.9,5.1,4.9,4.9,3.9,3.2,3.2
