Indicator Name,2016,2017,2018,2019,2020
"Inflation, GDP deflator (annual %)",-1.371485004,1.614051547,,,
"Inflation, GDP deflator (annual %)",6.400900454,5.217430866,4.095047399,4.252788644,5.373589142
"Inflation, GDP deflator (annual %)",-2.197526466,2.403656188,2.071348579,6.521479845,7.821667127
"Inflation, GDP deflator (annual %)",1.784171968,1.759105769,2.639371706,1.582289576,1.128351692
"Inflation, GDP deflator (annual %)",21.77424002,22.61451153,29.06595449,28.09067716,9.385221445
"Inflation, GDP deflator (annual %)",-0.632653419,1.451062699,1.473058102,1.221009476,-0.447649053
"Inflation, GDP deflator (annual %)",0.347795382,1.136509343,1.01247848,1.374753508,1.058095638
"Inflation, GDP deflator (annual %)",0.745882261,5.955170066,7.979181856,2.031869046,0.857573709
"Inflation, GDP deflator (annual %)",-3.193274435,5.495133268,8.206537292,-4.444037108,-8.363357271
"Inflation, GDP deflator (annual %)",41.11937999,26.00637928,42.03366896,50.92149871,39.89121743
"Inflation, GDP deflator (annual %)",0.268575077,2.150641898,2.787709514,1.065622639,2.022541134
"Inflation, GDP deflator (annual %)",1.405821712,-1.940890058,1.695361071,1.905550953,5.284765898
"Inflation, GDP deflator (annual %)",1.873671547,-0.929862178,2.352816325,0.208076985,1.744986282
"Inflation, GDP deflator (annual %)",-0.597558625,3.745090037,1.830155298,3.418785916,1.783655358
"Inflation, GDP deflator (annual %)",1.848294698,1.005534159,1.801930508,1.622589405,2.312344592
"Inflation, GDP deflator (annual %)",14.67140039,16.17240024,12.18487696,-0.241307862,-7.582123026
"Inflation, GDP deflator (annual %)",0.96047019,11.44917292,-2.850857066,0.822247025,11.89801083
"Inflation, GDP deflator (annual %)",1.920850695,1.830272796,1.518919988,1.754070579,1.284524365
"Inflation, GDP deflator (annual %)",0.683591111,-0.367891614,0.670442105,-0.397554452,2.878032289
"Inflation, GDP deflator (annual %)",2.604299192,1.41629728,1.07396689,1.617093954,6.83501465
"Inflation, GDP deflator (annual %)",6.72785241,6.278692845,5.597386853,4.458952023,4.089773091
