Category,Unit,2016,2017,2018,2019,2020,2021
Minimum Wage per Hour,AFN,24.5,27.0,26.9,26.8,26.6,26.5
Minimum Wage per Hour,AMD,334.0,354.3,333.7,393.3,393.3,418.4
Minimum Wage per Hour,AZN,0.7,0.7,0.8,1.6,1.6,1.7
Minimum Wage per Hour,BDT,25.0,26.1,39.7,39.6,39.6,39.8
Minimum Wage per Hour,KHR,"3,026.0","3,259.4","3,557.2","3,748.6","3,926.2","3,995.4"
Minimum Wage per Hour,CNY,11.0,11.5,12.2,12.5,12.5,12.5
Minimum Wage per Hour,HKD,36.0,38.7,38.0,41.3,42.5,41.3
Minimum Wage per Hour,INR,17.6,17.9,19.7,21.2,22.2,23.2
Minimum Wage per Hour,IDR,"10,076.6","11,581.4","12,686.9","13,548.0","15,365.6","15,485.8"
Minimum Wage per Hour,JPY,818.4,847.6,853.5,873.0,874.0,881.7
Minimum Wage per Hour,KZT,138.8,148.5,172.5,259.8,259.9,306.0
Minimum Wage per Hour,KGS,6.0,6.4,6.7,9.8,10.7,10.7
Minimum Wage per Hour,LAK,"5,013.3","5,065.7","6,210.8","6,230.4","6,813.3","6,824.8"
Minimum Wage per Hour,MYR,4.9,4.9,4.9,5.4,5.9,5.9
Minimum Wage per Hour,MNT,963.2,"1,306.2","1,705.5","1,700.5","2,271.2","2,233.3"
Minimum Wage per Hour,MMK,342.7,346.2,501.7,499.9,505.4,510.2
Minimum Wage per Hour,NPR,60.1,60.1,64.7,64.7,64.7,64.7
Minimum Wage per Hour,PKR,69.2,69.9,70.6,83.3,83.3,90.7
Minimum Wage per Hour,PHP,74.9,79.5,82.2,82.4,87.5,87.5
Minimum Wage per Hour,KRW,"6,916.7","7,456.0","8,731.3","9,711.0","10,021.3","10,190.6"
Minimum Wage per Hour,LKR,50.2,62.4,63.5,63.5,63.6,63.7
Minimum Wage per Hour,TWD,118.0,124.0,129.9,136.7,141.3,144.3
Minimum Wage per Hour,THB,40.0,40.7,43.3,44.3,46.5,47.3
Minimum Wage per Hour,VND,"12,291.0","13,461.5","13,976.6","14,688.9","15,518.7","17,349.1"
Minimum Wage per Hour,AUD,20.7,21.7,22.7,22.9,24.0,24.6
Minimum Wage per Hour,NZD,19.0,19.6,20.5,21.6,23.5,23.7
Minimum Wage per Hour,ALL,128.2,138.4,136.3,145.6,145.0,166.7
Minimum Wage per Hour,BYN,1.5,1.7,2.0,2.1,2.5,2.6
Minimum Wage per Hour,BAM,3.1,3.1,3.1,3.1,3.2,3.2
Minimum Wage per Hour,BGN,2.4,2.7,3.0,3.3,3.6,3.8
Minimum Wage per Hour,HRK,18.8,19.5,20.6,22.6,24.7,25.8
Minimum Wage per Hour,CZK,58.3,65.3,72.7,79.7,89.5,92.4
Minimum Wage per Hour,EUR,2.6,2.8,3.1,3.3,3.7,3.7
Minimum Wage per Hour,GEL,0.1,0.1,0.1,0.1,0.1,0.1
Minimum Wage per Hour,HuF,659.8,765.2,839.2,900.7,981.0,"1,017.8"
Minimum Wage per Hour,EUR,0.7,0.7,0.7,0.7,0.8,0.8
Minimum Wage per Hour,EUR,2.2,2.3,2.6,2.6,2.6,3.1
Minimum Wage per Hour,EUR,3.0,3.0,3.1,3.4,3.7,3.9
Minimum Wage per Hour,MDL,11.0,13.6,15.3,15.1,16.0,16.0
Minimum Wage per Hour,EUR,1.6,1.6,1.5,1.8,1.7,1.7
Minimum Wage per Hour,MKD,81.5,94.3,96.5,119.6,125.2,125.9
Minimum Wage per Hour,PLN,10.7,11.7,12.5,13.4,15.6,16.5
Minimum Wage per Hour,RON,7.4,8.6,11.3,12.3,13.4,13.4
Minimum Wage per Hour,RUB,35.8,45.0,64.4,65.2,70.2,74.0
Minimum Wage per Hour,RSD,157.0,170.8,185.5,201.9,227.0,236.2
Minimum Wage per Hour,EUR,2.4,2.6,2.9,3.1,3.5,3.8
Minimum Wage per Hour,EUR,4.7,4.9,5.1,5.3,5.6,6.1
Minimum Wage per Hour,UAH,8.9,18.5,21.5,24.1,29.6,32.5
