,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
China,Business Confidence Index,Socio-economic indicators,Index,-,49.5,50.1,50.2,51.4,51.6,51.4,51.8,51.7,51.0,51.6,51.1,49.9,49.7,49.6,49.7,49.9,45.9,50.8,51.2,51.8,51.3,51.0,50.0,49.9
"Hong Kong, China",Business Confidence Index,Socio-economic indicators,Index,-,-4.0,-6.0,2.0,-1.0,5.0,6.0,5.0,2.0,8.0,6.0,2.0,-12.0,-1.0,-8.0,-25.0,-22.0,-37.0,-11.0,-8.0,-17.0,0.0,6.0,1.0,0.5
India,Business Confidence Index,Socio-economic indicators,Index,-,54.1,57.2,56.9,56.5,64.1,61.2,58.3,59.7,60.1,64.9,64.9,61.8,65.2,59.6,52.5,49.4,53.4,41.0,50.3,62.9,61.9,61.1,60.6,60.1
Indonesia,Business Confidence Index,Socio-economic indicators,Index,-,99.5,110.2,107.9,106.7,103.4,111.6,112.4,111.0,106.3,112.8,108.1,104.7,102.1,108.8,105.3,104.8,102.9,97.2,103.6,108.7,104.3,105.0,106.8,107.2
Japan,Business Confidence Index,Socio-economic indicators,Index,-,7.0,4.0,5.0,7.0,10.0,12.0,15.0,16.0,17.0,16.0,15.0,16.0,12.0,10.0,8.0,4.0,-4.0,-31.0,-28.0,-15.0,-8.0,-3.0,-2.0,2.0
Malaysia,Business Confidence Index,Socio-economic indicators,Index,-,92.9,106.4,83.9,81.2,97.0,112.7,114.1,103.1,101.5,98.6,116.3,108.8,95.3,94.3,94.2,69.0,83.0,61.0,86.3,115.4,118.8,87.5,97.0,96.9
Philippines,Business Confidence Index,Socio-economic indicators,Index,-,41.9,48.7,45.4,39.8,39.4,43.0,37.9,43.3,39.5,39.3,30.1,27.2,35.2,40.5,37.3,40.2,22.3,8.5,-5.3,10.6,17.4,1.4,-5.6,39.7
Singapore,Business Confidence Index,Socio-economic indicators,Index,-,1.0,-1.0,4.0,2.0,7.0,4.0,5.0,1.0,13.0,7.0,-1.0,-14.0,1.0,-11.0,-5.0,12.0,-56.0,-7.0,-3.0,32.0,38.0,20.0,16.0,10.4
South Korea,Business Confidence Index,Socio-economic indicators,Index,-,66.0,70.7,71.7,72.3,75.3,79.0,78.7,79.7,77.3,80.0,74.7,73.0,70.3,73.7,71.3,74.3,64.7,53.3,64.0,75.7,78.7,88.0,86.0,86.3
Sri Lanka,Business Confidence Index,Socio-economic indicators,Index,-,105.0,86.0,102.0,102.0,95.0,85.0,95.0,97.0,87.0,78.0,66.0,61.0,74.0,63.0,64.0,78.0,33.0,20.0,57.0,57.0,88.0,68.0,90.0,
Thailand,Business Confidence Index,Socio-economic indicators,Index,-,51.2,55.5,57.5,61.0,55.4,54.4,57.3,64.2,58.3,56.1,57.5,62.2,60.0,58.6,57.8,57.2,56.9,56.7,56.5,56.4,56.4,56.3,56.3,56.3
Australia,Business Confidence Index,Socio-economic indicators,Index,-,4.0,5.0,5.3,5.7,7.7,9.7,8.0,8.7,9.7,7.7,6.3,3.7,1.7,3.0,1.7,0.0,-22.0,-22.3,-8.3,7.0,16.3,18.0,-2.0,7.0
New Zealand,Business Confidence Index,Socio-economic indicators,Index,-,8.5,12.6,19.8,22.2,14.8,16.9,12.6,-29.1,-19.3,-29.9,-44.5,-32.8,-33.3,-35.9,-50.0,-27.3,-32.0,-47.5,-34.0,-4.4,4.9,-0.3,-8.5,-17.7
Bulgaria,Business Confidence Index,Socio-economic indicators,Index,-,24.6,21.8,24.6,23.1,26.4,27.7,27.8,25.7,28.3,30.3,28.3,25.5,26.7,27.2,23.5,21.2,25.1,0.6,11.2,10.8,19.0,23.1,18.6,15.5
Croatia,Business Confidence Index,Socio-economic indicators,Index,-,2.8,6.4,4.2,-0.3,9.7,12.2,13.0,3.8,15.7,13.7,11.3,6.1,13.9,8.5,8.5,3.3,7.7,-23.6,-11.1,-13.6,2.9,4.8,11.5,2.6
Czech Republic,Business Confidence Index,Socio-economic indicators,Index,-,14.7,12.7,13.9,16.1,14.9,14.2,16.1,16.7,16.7,16.6,16.2,16.7,15.2,13.2,11.9,10.0,8.3,-17.0,-1.6,-3.3,-0.4,11.7,9.5,7.8
Estonia,Business Confidence Index,Socio-economic indicators,Index,-,1.5,3.0,5.5,-3.9,7.4,12.3,11.6,2.1,8.8,9.5,8.6,-0.5,2.3,-2.2,-6.4,-17.7,-3.5,-30.6,-8.5,-6.6,7.7,17.0,21.3,14.9
Georgia,Business Confidence Index,Socio-economic indicators,Index,-,14.0,26.4,25.0,17.6,17.5,29.0,27.0,28.2,31.4,39.6,35.4,29.9,22.6,27.0,8.3,18.5,25.8,-26.1,-9.9,-28.6,3.4,1.7,36.4,30.6
Hungary,Business Confidence Index,Socio-economic indicators,Index,-,5.5,2.1,2.8,2.5,4.5,7.9,11.3,11.9,14.4,14.1,13.7,14.3,13.0,7.4,4.2,3.7,0.0,-22.6,-15.2,-15.6,-10.9,1.5,5.7,7.4
Latvia,Business Confidence Index,Socio-economic indicators,Index,-,-5.4,-1.7,-3.4,-6.2,-0.6,2.2,1.3,-1.7,2.2,2.8,2.5,-1.6,1.1,0.0,-1.7,-6.2,1.1,-15.0,-3.8,-7.9,-4.3,3.7,1.9,-4.8
Lithuania,Business Confidence Index,Socio-economic indicators,Index,-,-7.5,-7.9,-5.7,-7.2,-2.5,-3.7,0.6,-6.4,-4.4,2.0,0.5,-4.8,-3.2,-1.6,-2.0,-6.9,-2.3,-16.7,-8.1,-9.0,-1.5,4.7,2.5,-0.8
North Macedonia,Business Confidence Index,Socio-economic indicators,Index,-,2.2,2.0,0.2,-4.6,-0.1,-1.1,1.1,-1.4,0.2,3.5,2.2,-3.6,1.2,1.5,-0.5,-2.4,-3.0,-29.4,-15.7,-18.1,-9.6,-11.0,-4.3,-3.4
Poland,Business Confidence Index,Socio-economic indicators,Index,-,-9.6,-1.6,-3.5,-12.9,-6.0,3.9,4.7,-2.7,3.0,7.1,5.6,-0.7,5.0,8.1,5.0,-1.9,-0.8,-37.3,-15.7,-21.8,-17.3,-9.2,-6.6,-12.2
Romania,Business Confidence Index,Socio-economic indicators,Index,-,0.0,2.9,1.1,-1.7,1.2,2.5,1.2,0.6,1.6,2.3,1.1,-1.5,1.0,1.7,-0.2,-2.0,-1.1,-18.6,-4.1,-7.4,-1.2,1.1,0.0,-3.4
Russia,Business Confidence Index,Socio-economic indicators,Index,-,-5.7,-4.0,-4.3,-7.0,-2.3,-1.0,-2.0,-4.0,-2.7,-2.0,-2.7,-6.3,-2.0,-1.3,-1.7,-4.7,-2.3,-7.3,-5.0,-6.0,-1.0,0.0,0.0,-2.0
Serbia,Business Confidence Index,Socio-economic indicators,Index,-,5.5,6.4,6.7,1.5,6.8,7.9,6.4,1.9,6.4,8.7,8.7,3.1,6.4,8.1,6.3,3.0,6.2,-6.8,-0.4,-3.2,1.5,4.1,5.3,1.9
Slovakia,Business Confidence Index,Socio-economic indicators,Index,-,12.7,3.9,8.3,-5.0,12.8,0.0,5.8,-1.1,9.9,2.0,3.6,-6.2,5.1,-7.3,-3.9,-13.3,7.9,-32.4,0.0,-1.1,4.1,-0.8,3.9,-8.6
Slovenia,Business Confidence Index,Socio-economic indicators,Index,-,7.0,8.0,5.7,1.3,12.7,10.3,9.3,8.3,14.3,10.7,5.3,2.3,6.7,2.3,-0.3,-7.7,-0.3,-26.3,-3.7,-5.0,9.3,12.3,9.7,0.7
Brazil,Business Confidence Index,Socio-economic indicators,Index,-,37.0,41.3,50.8,50.7,52.4,52.9,53.0,56.9,58.9,53.9,52.1,60.2,63.7,57.3,58.7,62.0,63.4,36.8,55.4,62.6,58.3,58.0,61.1,56.8
Chile,Business Confidence Index,Socio-economic indicators,Index,-,44.7,41.4,41.1,41.7,45.3,44.1,44.6,46.7,55.2,55.1,52.6,50.5,53.0,50.9,50.7,40.2,41.8,34.4,43.4,51.3,55.3,53.5,59.6,51.3
Colombia,Business Confidence Index,Socio-economic indicators,Index,-,6.6,4.9,5.3,-3.6,0.3,-7.6,-3.7,-7.9,0.7,1.6,4.7,-1.4,4.8,6.6,10.4,5.2,-4.3,-26.0,-0.3,-3.8,6.2,-0.8,17.4,13.0
