,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Afghanistan,Foreign Direct Investment Inflows,Socio-economic indicators,AFN million,Current Prices,"6,351.6","3,632.0","8,609.6","3,076.4","1,112.4",-
Armenia,Foreign Direct Investment Inflows,Socio-economic indicators,AMD million,Current Prices,"160,354.9","121,130.5","122,749.5","123,616.5","58,889.1",-
Azerbaijan,Foreign Direct Investment Inflows,Socio-economic indicators,AZN million,Current Prices,"7,180.8","4,937.3","2,385.1","2,556.6",862.0,-
Bangladesh,Foreign Direct Investment Inflows,Socio-economic indicators,BDT million,Current Prices,"183,044.1","173,066.2","301,603.7","242,694.3","221,440.0",-
Bhutan,Foreign Direct Investment Inflows,Socio-economic indicators,BTN million,Current Prices,"-2,280.5",-611.2,446.2,190.8,185.3,-
Brunei Darussalam,Foreign Direct Investment Inflows,Socio-economic indicators,BND million,Current Prices,-206.7,635.3,515.8,374.2,799.8,-
Cambodia,Foreign Direct Investment Inflows,Socio-economic indicators,KHR million,Current Prices,"10,035,678.1","11,268,428.3","12,974,208.3","14,838,422.8","14,826,167.1",-
China,Foreign Direct Investment Inflows,Socio-economic indicators,CNY million,Current Prices,"888,435.0","921,347.8","915,020.0","975,636.7","1,042,931.9",-
Fiji,Foreign Direct Investment Inflows,Socio-economic indicators,FJD million,Current Prices,816.6,798.2,983.1,680.8,535.4,-
French Polynesia,Foreign Direct Investment Inflows,Socio-economic indicators,XPF million,Current Prices,"6,643.5","8,394.5","6,412.4","2,706.1","5,965.6",-
"Hong Kong, China",Foreign Direct Investment Inflows,Socio-economic indicators,HKD million,Current Prices,"911,187.5","862,594.4","817,115.5","577,617.7","924,781.3",-
India,Foreign Direct Investment Inflows,Socio-economic indicators,INR million,Current Prices,"2,990,878.9","2,598,593.9","2,883,624.7","3,560,346.7","4,731,883.1",-
Indonesia,Foreign Direct Investment Inflows,Socio-economic indicators,IDR million,Current Prices,"52,171,286.8","275,360,910.5","292,787,191.7","337,927,567.2","269,608,088.8",-
Japan,Foreign Direct Investment Inflows,Socio-economic indicators,JPY million,Current Prices,"2,106,103.9","1,049,429.2","1,022,064.9","1,586,350.5","1,103,493.4",-
Kazakhstan,Foreign Direct Investment Inflows,Socio-economic indicators,KZT million,Current Prices,"2,912,291.2","1,522,147.1","1,250,554.2","1,099,911.0","1,603,328.7",-
Kiribati,Foreign Direct Investment Inflows,Socio-economic indicators,AUD million,Current Prices,2.4,1.0,-1.5,-0.8,-0.5,-
Kyrgyzstan,Foreign Direct Investment Inflows,Socio-economic indicators,KGS million,Current Prices,"43,067.1","-7,368.7","9,913.0","28,639.1","-25,799.8",-
Laos,Foreign Direct Investment Inflows,Socio-economic indicators,LAK million,Current Prices,"7,603,076.2","13,906,588.1","11,094,309.4","4,841,689.4","8,614,869.7",-
"Macau, China",Foreign Direct Investment Inflows,Socio-economic indicators,MOP million,Current Prices,"15,661.5","10,070.2","20,163.3","53,998.4","28,074.7",-
Malaysia,Foreign Direct Investment Inflows,Socio-economic indicators,MYR million,Current Prices,"47,014.5","40,425.2","30,743.0","32,364.2","14,742.4",-
Maldives,Foreign Direct Investment Inflows,Socio-economic indicators,MVR million,Current Prices,"7,017.8","7,044.3","8,859.9","14,715.9","5,361.3",-
Mongolia,Foreign Direct Investment Inflows,Socio-economic indicators,MNT million,Current Prices,"-8,895,915.6","3,645,881.1","5,374,540.0","6,342,213.0","4,652,364.9",-
Myanmar,Foreign Direct Investment Inflows,Socio-economic indicators,MMK million,Current Prices,"3,702,840.5","5,875,995.7","5,079,679.7","4,210,852.3","2,801,577.4",-
Nepal,Foreign Direct Investment Inflows,Socio-economic indicators,NPR million,Current Prices,"11,418.3","20,607.1","7,338.9","20,843.9","14,949.2",-
New Caledonia,Foreign Direct Investment Inflows,Socio-economic indicators,XPF million,Current Prices,"44,686.2","43,435.7","25,259.6","70,555.3","47,455.6",-
North Korea,Foreign Direct Investment Inflows,Socio-economic indicators,KPW million,Current Prices,"9,624.3","-1,382.6",223.8,"3,494.7",760.3,-
Pakistan,Foreign Direct Investment Inflows,Socio-economic indicators,PKR million,Current Prices,"269,613.9","262,891.3","210,966.4","334,693.7","341,681.0",-
Papua New Guinea,Foreign Direct Investment Inflows,Socio-economic indicators,PGK million,Current Prices,-124.6,-574.5,"-1,118.8","-3,061.3","-3,255.4",-
Philippines,Foreign Direct Investment Inflows,Socio-economic indicators,PHP million,Current Prices,"328,420.5","438,703.1","347,723.6","449,551.5","336,290.2",-
Samoa,Foreign Direct Investment Inflows,Socio-economic indicators,WST million,Current Prices,6.5,23.2,43.3,-5.6,-2.1,-
Singapore,Foreign Direct Investment Inflows,Socio-economic indicators,SGD million,Current Prices,"97,013.5","116,924.1","102,582.6","155,588.4","125,441.3",-
Solomon Islands,Foreign Direct Investment Inflows,Socio-economic indicators,SBD million,Current Prices,306.9,337.9,197.5,265.3,73.8,-
South Korea,Foreign Direct Investment Inflows,Socio-economic indicators,KRW million,Current Prices,"14,046,850.4","20,261,964.1","13,404,246.7","11,227,320.6","11,092,116.1",-
Sri Lanka,Foreign Direct Investment Inflows,Socio-economic indicators,LKR million,Current Prices,"130,593.9","209,268.0","262,207.5","135,495.5","81,551.3",-
Taiwan,Foreign Direct Investment Inflows,Socio-economic indicators,TWD million,Current Prices,"313,301.5","103,536.1","214,579.1","254,839.7","266,557.0",-
Tajikistan,Foreign Direct Investment Inflows,Socio-economic indicators,TJS million,Current Prices,"2,706.5","2,625.0","3,290.9","2,027.7","1,069.3",-
Thailand,Foreign Direct Investment Inflows,Socio-economic indicators,THB million,Current Prices,"87,925.4","267,288.8","360,100.0","95,112.7","-192,053.4",-
Tonga,Foreign Direct Investment Inflows,Socio-economic indicators,TOP million,Current Prices,19.6,30.4,33.7,29.2,-1.1,-
Turkmenistan,Foreign Direct Investment Inflows,Socio-economic indicators,TMT million,Current Prices,"7,851.1","7,300.8","6,990.5","7,453.0","4,093.0",-
Tuvalu,Foreign Direct Investment Inflows,Socio-economic indicators,AUD million,Current Prices,0.4,0.4,0.4,0.4,0.2,-
Uzbekistan,Foreign Direct Investment Inflows,Socio-economic indicators,UZS million,Current Prices,"4,934,901.1","9,287,366.2","5,041,732.6","20,487,121.5","16,812,289.7",-
Vanuatu,Foreign Direct Investment Inflows,Socio-economic indicators,VUV million,Current Prices,"4,766.3","4,124.0","4,128.1","4,002.8","3,368.0",-
Vietnam,Foreign Direct Investment Inflows,Socio-economic indicators,VND million,Current Prices,"277,047,015.0","315,395,262.5","350,389,770.8","371,578,761.7","368,877,967.5",-
Australia,Foreign Direct Investment Inflows,Socio-economic indicators,AUD million,Current Prices,"65,496.1","59,018.0","91,633.6","56,442.2","30,351.0",-
New Zealand,Foreign Direct Investment Inflows,Socio-economic indicators,NZD million,Current Prices,"4,085.9","3,417.9","3,465.1","6,494.0","6,643.4",-
Albania,Foreign Direct Investment Inflows,Socio-economic indicators,ALL million,Current Prices,"136,638.4","136,832.6","139,272.6","142,463.6","123,071.7",-
Belarus,Foreign Direct Investment Inflows,Socio-economic indicators,BYN million,Current Prices,"2,461.2","2,470.0","2,895.2","2,704.9","3,263.3",-
Bosnia and Herzegovina,Foreign Direct Investment Inflows,Socio-economic indicators,BAM million,Current Prices,618.4,853.6,951.6,699.0,651.2,-
Bulgaria,Foreign Direct Investment Inflows,Socio-economic indicators,BGN million,Current Prices,"1,839.3","3,147.8","1,893.2","2,999.9","4,260.2",-
Croatia,Foreign Direct Investment Inflows,Socio-economic indicators,HRK million,Current Prices,"1,859.6","3,574.9","7,355.6","8,846.7","8,784.2",-
Czech Republic,Foreign Direct Investment Inflows,Socio-economic indicators,CZK million,Current Prices,"239,864.8","222,585.2","239,258.9","231,808.5","147,382.6",-
Estonia,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,957.7,"1,723.5","1,268.8","2,761.4","2,833.7",-
Georgia,Foreign Direct Investment Inflows,Socio-economic indicators,GEL million,Current Prices,"3,911.2","4,963.7","3,310.3","3,694.0","1,866.9",-
Hungary,Foreign Direct Investment Inflows,Socio-economic indicators,HuF million,Current Prices,"-1,531,078.3","964,604.2","1,732,127.6","1,128,944.6","1,279,964.5",-
Kosovo,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,220.1,256.0,272.2,254.6,350.4,-
