,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Azerbaijan,Inflation,Socio-economic indicators,% growth over previous period,-,9.438,0.366,0.430,5.226,6.592,1.590,-0.138,1.943,0.600,-0.220,-0.377,1.305,1.540,0.564,-0.468,1.003,1.913,0.561,-0.766,0.802,3.304,1.262,1.505,4.569
Bangladesh,Inflation,Socio-economic indicators,% growth over previous period,-,1.403,-0.664,2.516,1.996,1.363,-0.250,2.652,2.058,1.204,-0.419,2.547,1.961,1.306,-0.327,2.521,2.160,1.066,-0.071,2.471,2.183,0.607,0.138,2.478,2.583
Cambodia,Inflation,Socio-economic indicators,% growth over previous period,-,0.039,1.828,0.920,0.784,0.638,0.365,0.720,0.454,0.652,0.881,0.490,0.361,0.188,0.771,0.635,0.427,1.159,0.260,0.924,1.051,-0.113,0.937,1.323,0.664
China,Inflation,Socio-economic indicators,% growth over previous period,-,1.729,-0.327,0.230,0.523,1.009,-0.258,0.323,0.741,1.310,-0.662,0.889,0.630,0.970,0.155,1.083,1.958,1.681,-1.978,0.331,0.120,1.448,-0.626,0.066,0.895
"Hong Kong, China",Inflation,Socio-economic indicators,% growth over previous period,-,0.901,-0.893,0.576,0.645,0.249,0.532,0.318,0.528,1.050,0.243,0.622,0.618,0.683,0.983,0.974,0.432,-0.530,0.632,-2.283,1.659,1.232,0.230,-0.853,1.423
India,Inflation,Socio-economic indicators,% growth over previous period,-,-0.495,2.363,1.458,-0.599,-0.843,1.458,2.395,0.702,0.116,0.696,4.032,0.221,1.989,2.059,2.017,2.289,0.102,0.711,2.336,1.729,-0.391,1.570,1.849,3.410
Indonesia,Inflation,Socio-economic indicators,% growth over previous period,-,1.228,0.022,1.275,0.743,1.564,0.645,0.804,0.444,1.348,0.622,0.643,0.525,0.809,1.132,0.893,0.087,0.782,0.338,-0.010,0.353,0.744,0.383,0.081,0.541
Japan,Inflation,Socio-economic indicators,% growth over previous period,-,-0.441,0.341,-0.204,0.613,-0.406,0.408,0.000,0.575,0.303,-0.201,0.437,0.335,-0.267,0.234,0.033,0.500,-0.100,-0.299,-0.067,-0.467,0.301,-0.501,0.503,0.200
Kazakhstan,Inflation,Socio-economic indicators,% growth over previous period,-,4.307,1.867,1.185,1.888,2.647,1.619,0.706,2.205,1.957,1.169,0.546,1.522,1.628,1.414,0.728,1.570,2.153,2.219,0.914,1.801,2.143,2.344,2.100,1.840
Laos,Inflation,Socio-economic indicators,% growth over previous period,-,-0.489,1.079,1.296,0.254,-0.732,0.190,0.435,0.397,0.409,0.753,1.103,-0.349,0.159,0.852,2.749,1.985,0.716,0.618,1.784,0.070,-0.341,2.088,2.409,1.145
Malaysia,Inflation,Socio-economic indicators,% growth over previous period,-,-0.262,0.263,0.669,-0.029,3.354,-0.056,0.476,0.752,0.498,-0.523,-0.360,0.694,-0.110,0.414,0.330,0.356,-0.191,-3.035,1.551,0.194,1.857,0.517,-0.433,1.196
Myanmar,Inflation,Socio-economic indicators,% growth over previous period,-,-2.222,3.587,2.001,1.146,0.664,-0.008,0.876,2.728,1.574,0.775,2.812,2.623,0.556,2.993,3.732,1.285,-0.179,-0.329,1.081,0.502,0.371,2.992,2.827,0.490
Pakistan,Inflation,Socio-economic indicators,% growth over previous period,-,-0.092,1.635,1.565,0.751,0.260,1.931,0.417,1.452,-0.020,2.459,1.606,2.304,1.663,3.089,4.002,2.687,1.674,0.575,3.643,2.278,1.143,3.124,1.804,4.538
Philippines,Inflation,Socio-economic indicators,% growth over previous period,-,0.170,0.455,0.585,0.810,1.020,0.422,0.390,1.136,1.863,1.306,1.805,0.844,-0.167,0.447,0.529,0.720,0.962,0.027,0.762,1.324,2.293,-0.052,0.939,0.930
Singapore,Inflation,Socio-economic indicators,% growth over previous period,-,-0.202,-0.247,0.325,0.149,0.398,-0.100,0.001,0.161,0.181,-0.016,0.370,-0.049,0.190,0.269,-0.058,0.229,-0.071,-0.807,0.380,0.388,0.802,0.703,0.570,1.562
South Korea,Inflation,Socio-economic indicators,% growth over previous period,-,0.502,0.192,0.192,0.557,1.249,-0.082,0.479,-0.204,0.884,0.328,0.533,0.030,-0.352,0.441,-0.070,0.278,0.317,-0.513,0.640,0.013,1.284,0.532,0.686,0.999
Sri Lanka,Inflation,Socio-economic indicators,% growth over previous period,-,-0.478,2.584,0.176,2.135,2.691,2.091,0.492,2.663,-1.456,0.376,0.723,0.877,0.184,1.262,1.168,2.592,2.351,-0.415,1.595,1.473,1.642,1.054,2.248,5.825
Taiwan,Inflation,Socio-economic indicators,% growth over previous period,-,-0.211,0.413,0.465,1.113,-1.199,0.200,0.639,0.774,-0.062,0.358,0.592,-0.420,-0.209,0.854,0.188,-0.136,-0.363,-0.664,0.695,0.296,0.477,0.639,0.850,0.681
Thailand,Inflation,Socio-economic indicators,% growth over previous period,-,-0.436,1.092,-0.158,0.195,0.121,-0.062,0.173,0.637,-0.143,0.656,0.354,-0.027,-0.237,0.993,-0.120,-0.236,-0.218,-2.107,1.872,0.099,-0.356,0.739,0.222,1.805
Turkmenistan,Inflation,Socio-economic indicators,% growth over previous period,-,-,-,3.146,2.491,2.290,1.290,3.286,3.182,5.800,2.968,-0.936,-,-,-,-,-,-,-,-,-,-,-,-,-
Uzbekistan,Inflation,Socio-economic indicators,% growth over previous period,-,-,-,-,-,-,2.746,1.879,4.751,8.281,2.775,-0.435,3.961,6.561,3.053,1.029,4.282,4.808,3.452,-0.433,3.096,4.805,3.023,-0.284,2.445
