,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Afghanistan,Real GDP Growth,Socio-economic indicators,% growth,-,1.651,2.647,1.189,3.912,-1.935,-3.870
American Samoa,Real GDP Growth,Socio-economic indicators,% growth,-,-1.800,-6.900,2.700,-0.600,4.000,2.033
Armenia,Real GDP Growth,Socio-economic indicators,% growth,-,0.172,7.529,5.202,7.631,-7.353,6.461
Azerbaijan,Real GDP Growth,Socio-economic indicators,% growth,-,-3.064,0.154,1.500,2.480,-4.310,5.263
Bangladesh,Real GDP Growth,Socio-economic indicators,% growth,-,7.113,7.284,7.864,8.153,3.509,4.599
Bhutan,Real GDP Growth,Socio-economic indicators,% growth,-,8.127,4.652,3.055,5.760,-10.080,-1.916
Brunei Darussalam,Real GDP Growth,Socio-economic indicators,% growth,-,-2.478,1.329,0.052,3.869,1.113,1.974
Cambodia,Real GDP Growth,Socio-economic indicators,% growth,-,6.882,7.007,7.439,7.054,-3.141,1.932
China,Real GDP Growth,Socio-economic indicators,% growth,-,7.289,6.947,6.750,5.950,2.348,7.915
Fiji,Real GDP Growth,Socio-economic indicators,% growth,-,2.510,5.425,3.526,-0.445,-15.725,-3.997
French Polynesia,Real GDP Growth,Socio-economic indicators,% growth,-,2.302,4.300,3.300,3.000,-7.600,2.655
Guam,Real GDP Growth,Socio-economic indicators,% growth,-,0.182,0.890,-0.720,2.539,-11.850,4.000
"Hong Kong, China",Real GDP Growth,Socio-economic indicators,% growth,-,2.169,3.791,2.846,-1.680,-6.081,6.512
India,Real GDP Growth,Socio-economic indicators,% growth,-,8.256,6.795,6.533,4.042,-7.252,9.257
Indonesia,Real GDP Growth,Socio-economic indicators,% growth,-,5.033,5.070,5.170,5.018,-2.070,3.488
Japan,Real GDP Growth,Socio-economic indicators,% growth,-,0.754,1.675,0.559,0.015,-4.587,1.785
Kazakhstan,Real GDP Growth,Socio-economic indicators,% growth,-,1.100,4.100,4.100,4.500,-2.600,3.705
Kiribati,Real GDP Growth,Socio-economic indicators,% growth,-,-0.478,-0.245,5.274,-0.540,-0.547,1.790
