Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Azerbaijan,Unemployed Population,Socio-economic indicators,0,-,244.5,245.2,246.9,252.8,252.6,251.5,250.4,251.7,252.5,252.4,251.6,253.8,254.1,252.7,251.7,251.6,255.1,337.5,364.2,375.9,370.3,350.8,320.4,281.6
"Hong Kong, China",Unemployed Population,Socio-economic indicators,0,-,127.8,135.5,140.1,130.5,122.2,126.2,128.2,117.5,108.7,111.4,117.1,111.5,105.9,114.1,119.5,125.3,139.1,223.7,251.2,249,258.4,230.5,189.6,157.1
Indonesia,Unemployed Population,Socio-economic indicators,0,-,"7,022.00","7,027.50","7,031.80","7,025.70","7,011.30","7,028.90","7,043.50","6,962.70","6,871.10","6,934.90","6,995.70","6,955.60","6,901.90","7,005.40","7,105.50","7,019.30","6,926.80","8,360.20","9,772.30","9,265.40","8,752.10","8,923.80","9,095.90","9,076.80"
Japan,Unemployed Population,Socio-economic indicators,0,-,"2,134.40","2,162.10","2,058.30","1,962.50","1,902.10","1,977.90","1,894.90","1,773.90","1,665.80","1,690.60","1,690.50","1,623.70","1,637.40","1,678.10","1,612.60","1,544.80","1,645.90","1,939.50","2,040.50","1,998.50","1,914.40","2,087.20","1,928.30","1,770.10"
Kazakhstan,Unemployed Population,Socio-economic indicators,0,-,447,447.4,444.7,441.3,439.2,439.3,441,439.3,439.6,441.4,441.6,441.9,441.9,442.1,442,441.6,442.1,450.1,454.5,453.6,451.9,451.4,450.9,451.8
Malaysia,Unemployed Population,Socio-economic indicators,0,-,504.3,504.7,517,512.8,516.9,509.2,516.2,503.6,502.2,511.7,519.2,510.5,517.9,521.2,518.8,511,549.4,797,741.1,761.1,770.4,745.3,747.3,698.9
Philippines,Unemployed Population,Socio-economic indicators,0,-,"2,640.40","2,339.30","2,054.60","2,780.90","2,436.00","2,381.10","2,186.00","2,337.20","2,378.60","2,329.30","2,203.40","2,283.30","2,267.00","2,437.30","2,050.10","2,391.90","7,260.70","4,570.90","3,812.70","3,953.30","3,870.20","3,880.90","3,725.00","3,770.90"
Singapore,Unemployed Population,Socio-economic indicators,0,-,65.1,102.8,67.3,69.1,77.7,106.9,68.1,65.9,69.4,100.2,68.6,71.6,74.7,110.8,74.7,74.7,82.7,139.9,117.1,102,93.1,124.5,87.3,80.5
South Korea,Unemployed Population,Socio-economic indicators,0,-,"1,148.10","1,020.20",978.8,879.9,"1,154.80","1,082.30",960,888.7,"1,172.40","1,106.20","1,057.70",939.6,"1,246.40","1,175.00",944.7,895.4,"1,153.60","1,216.80","1,001.50","1,044.50","1,376.40","1,124.70",806.3,843.4
Sri Lanka,Unemployed Population,Socio-economic indicators,0,-,349.4,376.9,376.9,350.9,351.9,383.9,357.9,345.7,375,384.2,343.9,390,403.4,422.5,438.3,385.6,484.7,455.5,490.3,440.6,494.4,434.3,410.9,388.5
