,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Azerbaijan,Unemployment Rate,Socio-economic indicators,% of economically active population,-,4.960,4.950,4.955,5.043,5.034,4.986,4.937,4.961,4.974,4.940,4.897,4.944,4.952,4.890,4.845,4.848,4.914,6.465,6.938,7.157,7.039,6.644,6.047,5.312
"Hong Kong, China",Unemployment Rate,Socio-economic indicators,% of economically active population,-,3.267,3.467,3.567,3.333,3.100,3.200,3.233,2.967,2.733,2.800,2.933,2.800,2.667,2.867,3.000,3.167,3.567,5.800,6.467,6.400,6.667,5.967,4.933,4.100
Indonesia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.500,5.553,5.606,5.468,5.330,5.415,5.500,5.315,5.130,5.235,5.340,5.160,4.980,5.105,5.230,5.085,4.940,6.005,7.070,6.665,6.260,6.375,6.490,6.359
Japan,Unemployment Rate,Socio-economic indicators,% of economically active population,-,3.233,3.233,3.067,2.933,2.867,2.933,2.800,2.633,2.467,2.467,2.467,2.367,2.400,2.433,2.333,2.234,2.400,2.833,2.967,2.900,2.800,3.033,2.800,2.633
Kazakhstan,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.059,5.009,4.924,4.923,4.938,4.892,4.893,4.892,4.881,4.862,4.816,4.829,4.822,4.808,4.798,4.793,4.797,4.905,4.960,4.937,4.901,4.880,4.869,4.871
Malaysia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,3.433,3.433,3.500,3.467,3.467,3.400,3.433,3.333,3.300,3.333,3.367,3.300,3.333,3.333,3.300,3.233,3.467,5.066,4.667,4.767,4.800,4.633,4.633,4.287
Philippines,Unemployment Rate,Socio-economic indicators,% of economically active population,-,6.100,5.400,4.700,6.600,5.700,5.600,5.000,5.300,5.500,5.420,5.062,5.272,5.150,5.421,4.536,5.322,17.684,9.963,8.735,8.746,8.217,8.047,7.943,8.584
Singapore,Unemployment Rate,Socio-economic indicators,% of economically active population,-,1.800,2.800,1.800,1.900,2.100,2.900,1.900,1.800,1.900,2.700,1.900,1.900,2.000,3.000,2.000,2.000,2.200,3.800,3.200,2.800,2.600,3.400,2.500,2.000
South Korea,Unemployment Rate,Socio-economic indicators,% of economically active population,-,4.269,3.699,3.533,3.200,4.236,3.866,3.433,3.200,4.269,3.933,3.767,3.366,4.499,4.133,3.335,3.166,4.133,4.334,3.568,3.731,4.960,3.933,2.834,2.965
Sri Lanka,Unemployment Rate,Socio-economic indicators,% of economically active population,-,4.200,4.600,4.500,4.200,4.100,4.500,4.200,4.000,4.500,4.600,4.100,4.600,4.700,4.900,5.100,4.500,5.700,5.400,5.800,5.200,5.700,5.100,4.809,4.503
Taiwan,Unemployment Rate,Socio-economic indicators,% of economically active population,-,3.903,3.873,4.030,3.870,3.803,3.690,3.833,3.707,3.663,3.657,3.813,3.703,3.680,3.690,3.837,3.723,3.687,4.020,3.940,3.743,3.677,4.183,4.243,3.710
Thailand,Unemployment Rate,Socio-economic indicators,% of economically active population,-,0.970,1.080,0.940,0.970,1.210,1.220,1.190,1.120,1.240,1.070,0.960,0.930,0.920,0.980,1.040,0.980,1.030,1.950,1.900,1.860,1.960,1.890,2.250,2.019
Vietnam,Unemployment Rate,Socio-economic indicators,% of economically active population,-,2.051,2.065,2.136,2.112,1.820,2.055,2.022,2.014,2.008,2.004,2.000,1.996,2.170,2.160,2.170,2.150,2.220,2.730,2.500,2.370,2.420,2.620,3.980,3.560
Australia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,6.219,5.612,5.566,5.444,6.235,5.513,5.440,5.188,5.955,5.348,5.120,4.776,5.415,5.155,5.171,4.893,5.586,6.848,6.987,6.424,6.361,5.104,4.569,4.419
New Zealand,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.500,4.900,4.900,5.200,5.200,4.700,4.600,4.400,4.600,4.400,3.900,4.400,4.400,3.900,4.000,4.100,4.500,3.900,5.100,4.900,4.900,3.900,3.200,3.200
Belarus,Unemployment Rate,Socio-economic indicators,% of economically active population,-,,,,,6.337,5.724,5.223,5.452,5.066,4.669,4.652,4.753,4.559,4.353,3.877,3.976,4.112,4.198,3.966,4.066,4.163,3.984,3.659,3.769
Bulgaria,Unemployment Rate,Socio-economic indicators,% of economically active population,-,8.700,8.200,7.100,6.767,6.967,6.433,5.933,5.733,5.833,5.533,5.100,4.767,5.100,4.267,3.733,4.200,4.633,5.933,4.900,5.333,6.300,5.633,4.567,4.867
Croatia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,16.000,12.700,11.667,13.167,13.767,10.533,9.533,10.467,10.500,7.933,7.200,7.967,8.133,6.200,5.767,6.467,7.000,7.667,7.667,8.700,9.267,7.767,6.900,7.167
Czech Republic,Unemployment Rate,Socio-economic indicators,% of economically active population,-,4.367,3.933,3.967,3.600,3.467,2.967,2.800,2.400,2.433,2.200,2.367,2.067,2.033,1.900,2.133,2.000,1.967,2.367,2.867,3.000,3.367,3.000,2.700,2.167
Estonia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,6.833,6.633,7.133,6.733,5.900,6.300,5.400,5.633,6.500,5.133,5.300,4.633,4.600,4.933,4.167,4.233,5.167,7.167,7.667,7.533,7.067,6.700,5.833,5.100
Hungary,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.867,4.967,4.767,4.300,4.400,4.133,3.967,3.700,3.733,3.433,3.700,3.500,3.433,3.233,3.367,3.167,3.667,4.500,4.300,4.033,4.500,4.100,3.900,3.700
Latvia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,10.233,9.500,9.533,9.267,9.367,8.833,8.500,8.133,8.167,7.633,6.933,6.867,6.900,6.367,6.033,5.933,7.600,8.567,8.367,7.867,8.067,7.833,7.200,7.133
Lithuania,Unemployment Rate,Socio-economic indicators,% of economically active population,-,8.367,8.033,7.533,7.667,8.067,7.033,6.600,6.767,7.200,5.933,5.600,6.000,6.533,6.133,6.067,6.400,7.133,8.567,9.300,9.067,7.467,7.433,6.700,5.867
North Macedonia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,24.700,24.300,23.600,23.200,23.100,22.700,22.300,22.100,21.600,21.100,20.790,19.403,17.833,17.474,17.081,16.647,16.185,16.749,16.531,16.141,15.980,15.881,15.709,15.859
Poland,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.033,6.200,5.967,5.567,5.367,4.967,4.700,4.500,4.167,3.633,3.833,3.800,3.933,3.233,3.100,2.867,3.133,3.133,3.267,3.100,4.033,3.533,3.033,2.800
Romania,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.933,7.233,7.000,6.633,6.533,6.100,5.933,5.800,5.733,5.233,4.900,5.133,5.067,4.767,4.833,4.900,5.233,6.467,6.300,6.300,6.100,5.100,5.333,5.267
Russia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.867,5.633,5.233,5.367,5.533,5.200,5.000,5.067,5.067,4.767,4.600,4.767,4.833,4.533,4.433,4.600,4.667,6.033,6.333,6.100,5.633,4.966,4.400,4.338
Serbia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,18.973,15.213,13.789,13.046,14.583,11.764,12.936,14.683,14.846,11.906,11.263,12.882,12.106,10.275,9.498,9.658,9.734,7.267,9.044,9.902,12.794,11.058,10.456,10.414
